Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
K208FM,WJSO 90.1,89.5,PIERRE,SD,USA,RELIGIOUS TEACHING,MOODY RADIO,82017,0,0.092,0,118.3,44-25-13,100-20-48,,,,,,,
KDKO,,89.5,LAKE ANDES,SD,USA,ETHNIC,,172838,0.8,0,145,0,43-04-59,98-28-23,,,,,,,
K208FN,KVIP-FM 98.1,89.5,BURNS,OR,USA,RELIGIOUS TEACHING,,93781,0.023,0.023,0,0,43-33-48,119-09-33,,,,,,,
KZCT,,89.5,VALLEJO,CA,USA,VARIETY,OZ CAT RADIO,174017,0,0.9,0,-5,38-06-05,122-14-41,,,,,,,
KWCC-FM,,89.5,WOODLAND PARK,CO,USA,NEWS/TALK,NATIONAL PUBLIC RADIO FOR SOUTHERN COLORADO,176681,0,0.1,0,-132,38-59-49,105-02-46,,,,,,,
K208DR,KEFX 88.9,89.5,ROSWELL,NM,USA,CHRISTIAN CHR + ROCK,EFFECT RADIO,92755,0,0.115,0,89.8,33-21-47,104-38-11,,,,,,,
WSPI,,89.5,ELLSWORTH,IL,USA,RELIGIOUS TEACHING,SPIRIT RADIO 89.5 AND 92.5,176414,7,7,130,130,40-24-17,88-35-34,,Mono,85BE,CSRN,,,
WDTP,,89.5,HURON TOWNSHIP,MI,USA,CONTEMPORARY CHRISTIAN,SMILE FM MICHIGAN'S POSITIVE HITS,176302,50,50,95,95,42-10-08,83-12-49,,Mono,5.00E+91,,,,
WHRV,,89.5,NORFOLK,VA,USA,NEWS/TALK/VARIETY,PUBLIC RADIO FOR EASTERN VIRGINIA,25933,34,34,181.7,181.7,36-48-32,76-30-13,,HD,68F3,89.5 WHRV,WHRV,Public,
WHVY,WHVT 90.5,89.5,COSHOCTON,OH,USA,RELIGIOUS TEACHING,CLEAN AIR CHRISTIAN RADIO NETWORK,171800,1.75,1.75,85,85,40-18-17,81-44-04,,,,,,,
WSCL,,89.5,SALISBURY,MD,USA,CLASSICAL/NEWS,DELMARVA PUBLIC RADIO,58660,45,45,136,136,38-40-00,75-34-59,,,846F,WSCL,ARTS and CULTURE,Classical,
KSKQ,,89.5,ASHLAND,OR,USA,VARIETY,HOME GROWN RADIO,173192,0.56,0.56,596,596,42-11-54,122-29-29,,,,,,,
WMFV,,89.5,CEDAR CREEK,FL,USA,NEWS/TALK,NPR,9714,22,22,114.2,114.2,29-11-16,81-52-55,,,74EF,WKSG,,Public,
KPJH,KUFM 89.1,89.5,POLSON,MT,USA,NEWS/VARIETY,MONTANA PUBLIC RADIO,173197,0.13,0.13,570,570,47-46-25,114-16-05,,,,,,,Univ of Montana
KVRF,,89.5,SUTTON,AK,USA,VARIETY,BIG CABBAGE RADIO,177165,0.36,0.36,-435,-435,61-44-18,148-54-27,,,,,,,
W208AP,WWVT 89.9,89.5,LYNCHBURG,VA,USA,CLASSICAL/JAZZ,WVTF MUSIC,84544,0.01,0.01,0,0,37-21-32,79-09-32,,,,,,,Virginia Tech University
WYAZ,,89.5,YAZOO CITY,MS,USA,CONTEMPORARY CHRISTIAN,FAMILY RADIO,91703,85,85,162,162,32-48-04,89-56-32,,,,,,,
K208BR,KNIS 91.3,89.5,EUREKA,NV,USA,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,71801,0,0.05,0,0,39-30-40,115-57-56,,,,,,,
KCJA,,89.5,CONWAY,IA,USA,RELIGIOUS TEACHING,,172622,0.1,0.1,11,11,40-44-56,94-37-08,,,,,,,
WILB-FM,WILB 1060,89.5,BOARDMAN,OH,USA,RELIGIOUS TEACHING,LIVING BREAD RADIO,173428,0.15,0.15,47.9,47.9,41-04-48,80-38-25,,,6.73E+03,,,,
WWTP,,89.5,AUGUSTA,ME,USA,RELIGIOUS TEACHING,RELEVANT RADIO,172331,0.69,0.69,6.1,6.1,44-16-47,69-40-50,,,9.36E+03,,,Religious Talk,Immaculate Heart Radio
K208FO,WVCX 98.9,89.5,PRAIRIE DU CHIEN,WI,USA,RELIGIOUS TEACHING,VCY AMERICA,122213,0.205,0.205,0,0,43-01-36,91-10-30,,Silent,,,,,silent 12/12/25 transmitter failure
WYPA,,89.5,CHERRY HILL,NJ,USA,CONTEMPORARY CHRISTIAN,AIR1,7045,0,1.9,0,61,39-54-43,74-59-21,,HD,958E,Air1,,,
W208CA,WPCS 89.5,89.5,WARSAW,IN,USA,RELIGIOUS TEACHING,REJOICE RADIO,89540,0,0.055,0,0,41-14-12,85-52-45,,,,,,,
KQAL,,89.5,WINONA,MN,USA,VARIETY,YOUR RADIO ALTERNATIVE,72955,2.5,2.5,210.3,210.3,44-04-26,91-34-38,,,3A4B,Winonas Radio Alternative,-,,
WVPR,,89.5,WINDSOR,VT,USA,NEWS/TALK,VERMONT PUBLIC RADIO,69951,1.7,1.7,694,694,43-26-15,72-27-08,,HD,8DB3,VPR NEWS,VPR NEWS,Public,
KICO,,89.5,RICO,CO,USA,VARIETY,KSJD DRY LAND COMMUNITY RADIO,174903,0.125,0,-402,0,37-41-32,108-01-55,,,,,,,
KDCB,,89.5,COOS BAY,OR,USA,RELIGIOUS TEACHING/CONTEMPORARY CHRISTIAN,THE DOVE,176687,0.055,0.055,148,148,43-21-16,124-14-30,,,,,,,
WFIT,,89.5,MELBOURNE,FL,USA,ADULT ALTERNATIVE,PUBLIC RADIO FOR THE SPACE COAST,65631,4.7,4.7,45,45,28-03-51,80-37-25,,HD,62BF,WFIT 89.5 FM Pub Jazz,WFIT 89.5 FM Pub Jazz,Public,
KPBS-FM,,89.5,SAN DIEGO,CA,USA,NEWS/TALK,,58823,25.7,25.7,208.5,208.5,32-41-53,116-56-06,,HD,37C8,KPBS-FM,,News,San Diego State University
K208FS,KAWZ 89.9,89.5,FORT MORGAN,CO,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,92436,0.099,0.099,0,0,40-13-02,103-41-48,,,,,,,
